"Color (R, G, B)",Count
"(np.int64(108), np.int64(112), np.int64(116))",128
"(np.int64(44), np.int64(51), np.int64(58))",124
"(np.int64(173), np.int64(177), np.int64(180))",121
"(np.int64(253), np.int64(253), np.int64(253))",76
"(np.int64(0), np.int64(0), np.int64(0))",58
"(np.int64(149), np.int64(128), np.int64(125))",42
"(np.int64(209), np.int64(184), np.int64(184))",37
"(np.int64(102), np.int64(104), np.int64(105))",31
"(np.int64(225), np.int64(203), np.int64(203))",26
"(np.int64(171), np.int64(172), np.int64(171))",23
