"Color (R, G, B)",Count
"(np.int64(42), np.int64(37), np.int64(48))",216
"(np.int64(171), np.int64(170), np.int64(167))",150
"(np.int64(220), np.int64(216), np.int64(196))",139
"(np.int64(116), np.int64(114), np.int64(111))",105
"(np.int64(95), np.int64(64), np.int64(36))",72
"(np.int64(149), np.int64(105), np.int64(50))",62
"(np.int64(73), np.int64(80), np.int64(114))",59
"(np.int64(28), np.int64(19), np.int64(25))",58
"(np.int64(141), np.int64(140), np.int64(138))",39
"(np.int64(229), np.int64(236), np.int64(233))",18
