"Color (R, G, B)",Count
"(np.int64(141), np.int64(122), np.int64(100))",102
"(np.int64(77), np.int64(63), np.int64(61))",96
"(np.int64(193), np.int64(195), np.int64(193))",92
"(np.int64(181), np.int64(170), np.int64(151))",61
"(np.int64(41), np.int64(36), np.int64(33))",34
"(np.int64(70), np.int64(47), np.int64(37))",25
"(np.int64(252), np.int64(253), np.int64(253))",23
"(np.int64(121), np.int64(96), np.int64(75))",17
"(np.int64(73), np.int64(62), np.int64(51))",14
"(np.int64(205), np.int64(205), np.int64(199))",9
