"Color (R, G, B)",Count
"(np.int64(211), np.int64(212), np.int64(204))",49
"(np.int64(57), np.int64(53), np.int64(49))",39
"(np.int64(160), np.int64(148), np.int64(143))",38
"(np.int64(250), np.int64(251), np.int64(249))",37
"(np.int64(84), np.int64(88), np.int64(91))",22
"(np.int64(23), np.int64(25), np.int64(26))",13
"(np.int64(126), np.int64(126), np.int64(126))",6
"(np.int64(156), np.int64(203), np.int64(104))",5
"(np.int64(176), np.int64(175), np.int64(176))",4
"(np.int64(109), np.int64(106), np.int64(104))",4
