"Color (R, G, B)",Count
"(np.int64(84), np.int64(78), np.int64(75))",140
"(np.int64(118), np.int64(119), np.int64(140))",95
"(np.int64(161), np.int64(162), np.int64(184))",87
"(np.int64(41), np.int64(34), np.int64(33))",82
"(np.int64(213), np.int64(242), np.int64(215))",70
"(np.int64(1), np.int64(1), np.int64(0))",59
"(np.int64(169), np.int64(158), np.int64(129))",25
"(np.int64(117), np.int64(95), np.int64(103))",13
"(np.int64(213), np.int64(212), np.int64(223))",12
"(np.int64(32), np.int64(88), np.int64(103))",11
