"Color (R, G, B)",Count
"(np.int64(124), np.int64(123), np.int64(127))",192
"(np.int64(57), np.int64(68), np.int64(87))",140
"(np.int64(222), np.int64(222), np.int64(223))",124
"(np.int64(152), np.int64(152), np.int64(154))",122
"(np.int64(46), np.int64(40), np.int64(26))",108
"(np.int64(61), np.int64(59), np.int64(60))",90
"(np.int64(201), np.int64(202), np.int64(201))",87
"(np.int64(92), np.int64(86), np.int64(86))",80
"(np.int64(180), np.int64(151), np.int64(119))",20
"(np.int64(121), np.int64(120), np.int64(123))",18
