"Color (R, G, B)",Count
"(np.int64(25), np.int64(24), np.int64(27))",374
"(np.int64(136), np.int64(131), np.int64(132))",361
"(np.int64(176), np.int64(175), np.int64(175))",346
"(np.int64(61), np.int64(57), np.int64(55))",295
"(np.int64(96), np.int64(91), np.int64(90))",243
"(np.int64(238), np.int64(238), np.int64(238))",221
"(np.int64(204), np.int64(204), np.int64(204))",86
"(np.int64(125), np.int64(51), np.int64(65))",51
"(np.int64(219), np.int64(152), np.int64(126))",29
"(np.int64(144), np.int64(127), np.int64(101))",27
