"Color (R, G, B)",Count
"(np.int64(242), np.int64(235), np.int64(226))",181
"(np.int64(100), np.int64(81), np.int64(90))",167
"(np.int64(43), np.int64(37), np.int64(46))",157
"(np.int64(185), np.int64(137), np.int64(136))",140
"(np.int64(166), np.int64(188), np.int64(185))",93
"(np.int64(143), np.int64(118), np.int64(114))",77
"(np.int64(87), np.int64(78), np.int64(72))",39
"(np.int64(18), np.int64(19), np.int64(39))",28
"(np.int64(224), np.int64(235), np.int64(185))",24
"(np.int64(234), np.int64(163), np.int64(153))",15
