"Color (R, G, B)",Count
"(np.int64(96), np.int64(99), np.int64(98))",21
"(np.int64(195), np.int64(179), np.int64(162))",18
"(np.int64(29), np.int64(27), np.int64(26))",16
"(np.int64(225), np.int64(238), np.int64(218))",13
"(np.int64(164), np.int64(173), np.int64(126))",10
"(np.int64(45), np.int64(61), np.int64(23))",7
"(np.int64(118), np.int64(138), np.int64(91))",6
"(np.int64(89), np.int64(112), np.int64(64))",3
"(np.int64(229), np.int64(196), np.int64(33))",3
"(np.int64(66), np.int64(89), np.int64(41))",3
