"Color (R, G, B)",Count
"(np.int64(228), np.int64(228), np.int64(232))",49
"(np.int64(30), np.int64(32), np.int64(60))",45
"(np.int64(167), np.int64(174), np.int64(178))",38
"(np.int64(157), np.int64(137), np.int64(118))",37
"(np.int64(84), np.int64(90), np.int64(120))",30
"(np.int64(52), np.int64(48), np.int64(44))",21
"(np.int64(114), np.int64(96), np.int64(80))",17
"(np.int64(221), np.int64(222), np.int64(222))",10
"(np.int64(240), np.int64(122), np.int64(29))",4
"(np.int64(104), np.int64(48), np.int64(31))",3
