"Color (R, G, B)",Count
"(np.int64(30), np.int64(31), np.int64(35))",277
"(np.int64(143), np.int64(151), np.int64(158))",214
"(np.int64(104), np.int64(108), np.int64(117))",203
"(np.int64(222), np.int64(238), np.int64(248))",164
"(np.int64(66), np.int64(68), np.int64(74))",157
"(np.int64(184), np.int64(199), np.int64(211))",155
"(np.int64(191), np.int64(170), np.int64(153))",62
"(np.int64(19), np.int64(19), np.int64(21))",32
"(np.int64(221), np.int64(97), np.int64(114))",22
"(np.int64(114), np.int64(89), np.int64(76))",20
