"Color (R, G, B)",Count
"(np.int64(175), np.int64(176), np.int64(175))",408
"(np.int64(124), np.int64(124), np.int64(124))",401
"(np.int64(69), np.int64(69), np.int64(69))",348
"(np.int64(11), np.int64(11), np.int64(11))",141
"(np.int64(220), np.int64(220), np.int64(220))",141
"(np.int64(249), np.int64(249), np.int64(249))",132
"(np.int64(177), np.int64(129), np.int64(94))",52
"(np.int64(233), np.int64(202), np.int64(144))",46
"(np.int64(124), np.int64(88), np.int64(71))",46
"(np.int64(77), np.int64(69), np.int64(71))",26
