"Color (R, G, B)",Count
"(np.int64(167), np.int64(165), np.int64(159))",45
"(np.int64(117), np.int64(124), np.int64(112))",38
"(np.int64(48), np.int64(46), np.int64(44))",25
"(np.int64(228), np.int64(221), np.int64(210))",17
"(np.int64(200), np.int64(192), np.int64(180))",16
"(np.int64(104), np.int64(111), np.int64(99))",7
"(np.int64(77), np.int64(95), np.int64(40))",6
"(np.int64(59), np.int64(61), np.int64(29))",5
"(np.int64(252), np.int64(250), np.int64(220))",5
"(np.int64(161), np.int64(30), np.int64(59))",5
