"Color (R, G, B)",Count
"(np.int64(68), np.int64(74), np.int64(78))",284
"(np.int64(55), np.int64(44), np.int64(17))",222
"(np.int64(198), np.int64(212), np.int64(222))",193
"(np.int64(128), np.int64(144), np.int64(159))",178
"(np.int64(94), np.int64(101), np.int64(111))",167
"(np.int64(159), np.int64(157), np.int64(178))",115
"(np.int64(233), np.int64(231), np.int64(223))",106
"(np.int64(123), np.int64(114), np.int64(97))",90
"(np.int64(12), np.int64(13), np.int64(12))",67
"(np.int64(107), np.int64(56), np.int64(15))",33
