"Color (R, G, B)",Count
"(np.int64(110), np.int64(89), np.int64(87))",144
"(np.int64(180), np.int64(168), np.int64(146))",134
"(np.int64(45), np.int64(37), np.int64(49))",123
"(np.int64(239), np.int64(233), np.int64(201))",90
"(np.int64(10), np.int64(10), np.int64(23))",64
"(np.int64(233), np.int64(199), np.int64(187))",64
"(np.int64(158), np.int64(115), np.int64(106))",20
"(np.int64(99), np.int64(100), np.int64(128))",20
"(np.int64(181), np.int64(149), np.int64(148))",7
"(np.int64(148), np.int64(148), np.int64(146))",5
