"Color (R, G, B)",Count
"(np.int64(36), np.int64(36), np.int64(36))",72
"(np.int64(160), np.int64(161), np.int64(159))",59
"(np.int64(114), np.int64(115), np.int64(113))",54
"(np.int64(202), np.int64(205), np.int64(200))",43
"(np.int64(60), np.int64(60), np.int64(59))",35
"(np.int64(232), np.int64(231), np.int64(239))",14
"(np.int64(95), np.int64(77), np.int64(74))",12
"(np.int64(130), np.int64(111), np.int64(107))",8
"(np.int64(229), np.int64(195), np.int64(44))",5
"(np.int64(7), np.int64(6), np.int64(7))",4
