"Color (R, G, B)",Count
"(np.int64(199), np.int64(190), np.int64(186))",207
"(np.int64(86), np.int64(76), np.int64(78))",200
"(np.int64(108), np.int64(127), np.int64(148))",113
"(np.int64(250), np.int64(250), np.int64(251))",99
"(np.int64(22), np.int64(16), np.int64(18))",99
"(np.int64(185), np.int64(133), np.int64(106))",78
"(np.int64(167), np.int64(144), np.int64(133))",54
"(np.int64(121), np.int64(101), np.int64(87))",53
"(np.int64(70), np.int64(59), np.int64(51))",38
"(np.int64(197), np.int64(183), np.int64(170))",32
