"Color (R, G, B)",Count
"(np.int64(201), np.int64(184), np.int64(174))",275
"(np.int64(38), np.int64(43), np.int64(58))",265
"(np.int64(151), np.int64(161), np.int64(177))",250
"(np.int64(157), np.int64(116), np.int64(121))",228
"(np.int64(208), np.int64(219), np.int64(233))",184
"(np.int64(66), np.int64(104), np.int64(134))",118
"(np.int64(119), np.int64(85), np.int64(93))",109
"(np.int64(115), np.int64(46), np.int64(62))",80
"(np.int64(250), np.int64(247), np.int64(242))",65
"(np.int64(80), np.int64(48), np.int64(57))",48
