"Color (R, G, B)",Count
"(np.int64(87), np.int64(70), np.int64(67))",254
"(np.int64(128), np.int64(124), np.int64(118))",242
"(np.int64(30), np.int64(32), np.int64(35))",234
"(np.int64(230), np.int64(230), np.int64(236))",233
"(np.int64(158), np.int64(169), np.int64(183))",208
"(np.int64(187), np.int64(162), np.int64(127))",67
"(np.int64(231), np.int64(223), np.int64(202))",50
"(np.int64(144), np.int64(126), np.int64(101))",29
"(np.int64(77), np.int64(104), np.int64(155))",23
"(np.int64(187), np.int64(174), np.int64(163))",22
