"Color (R, G, B)",Count
"(np.int64(24), np.int64(20), np.int64(8))",527
"(np.int64(139), np.int64(162), np.int64(159))",478
"(np.int64(118), np.int64(97), np.int64(58))",428
"(np.int64(82), np.int64(87), np.int64(78))",284
"(np.int64(253), np.int64(253), np.int64(252))",265
"(np.int64(210), np.int64(212), np.int64(211))",230
"(np.int64(32), np.int64(35), np.int64(31))",229
"(np.int64(222), np.int64(242), np.int64(197))",215
"(np.int64(151), np.int64(152), np.int64(147))",172
"(np.int64(109), np.int64(129), np.int64(134))",102
