"Color (R, G, B)",Count
"(np.int64(143), np.int64(139), np.int64(131))",289
"(np.int64(34), np.int64(34), np.int64(34))",192
"(np.int64(227), np.int64(222), np.int64(208))",171
"(np.int64(82), np.int64(74), np.int64(61))",149
"(np.int64(0), np.int64(0), np.int64(0))",148
"(np.int64(158), np.int64(152), np.int64(141))",82
"(np.int64(179), np.int64(173), np.int64(163))",82
"(np.int64(116), np.int64(111), np.int64(102))",69
"(np.int64(134), np.int64(128), np.int64(118))",60
"(np.int64(222), np.int64(214), np.int64(202))",41
