"Color (R, G, B)",Count
"(np.int64(44), np.int64(47), np.int64(32))",255
"(np.int64(147), np.int64(142), np.int64(126))",181
"(np.int64(88), np.int64(95), np.int64(57))",162
"(np.int64(220), np.int64(216), np.int64(215))",132
"(np.int64(169), np.int64(185), np.int64(146))",86
"(np.int64(42), np.int64(25), np.int64(32))",51
"(np.int64(221), np.int64(224), np.int64(230))",39
"(np.int64(123), np.int64(138), np.int64(53))",27
"(np.int64(125), np.int64(151), np.int64(95))",20
"(np.int64(245), np.int64(244), np.int64(243))",20
