"Color (R, G, B)",Count
"(np.int64(45), np.int64(45), np.int64(21))",153
"(np.int64(82), np.int64(85), np.int64(38))",108
"(np.int64(146), np.int64(144), np.int64(118))",94
"(np.int64(184), np.int64(179), np.int64(166))",89
"(np.int64(218), np.int64(214), np.int64(210))",88
"(np.int64(119), np.int64(116), np.int64(64))",82
"(np.int64(10), np.int64(13), np.int64(18))",51
"(np.int64(84), np.int64(89), np.int64(101))",30
"(np.int64(245), np.int64(241), np.int64(229))",21
"(np.int64(138), np.int64(158), np.int64(181))",15
