"Color (R, G, B)",Count
"(np.int64(175), np.int64(173), np.int64(175))",32
"(np.int64(94), np.int64(96), np.int64(101))",20
"(np.int64(130), np.int64(127), np.int64(126))",15
"(np.int64(196), np.int64(195), np.int64(196))",7
"(np.int64(21), np.int64(22), np.int64(23))",7
"(np.int64(69), np.int64(53), np.int64(49))",7
"(np.int64(38), np.int64(73), np.int64(119))",3
"(np.int64(218), np.int64(220), np.int64(220))",2
"(np.int64(150), np.int64(126), np.int64(117))",1
"(np.int64(161), np.int64(145), np.int64(42))",1
