"Color (R, G, B)",Count
"(np.int64(39), np.int64(34), np.int64(40))",1043
"(np.int64(110), np.int64(81), np.int64(81))",915
"(np.int64(182), np.int64(158), np.int64(146))",736
"(np.int64(247), np.int64(247), np.int64(243))",501
"(np.int64(197), np.int64(195), np.int64(183))",439
"(np.int64(167), np.int64(113), np.int64(109))",323
"(np.int64(113), np.int64(157), np.int64(137))",130
"(np.int64(75), np.int64(45), np.int64(54))",128
"(np.int64(105), np.int64(83), np.int64(96))",95
"(np.int64(199), np.int64(198), np.int64(200))",76
