"Color (R, G, B)",Count
"(np.int64(35), np.int64(21), np.int64(16))",174
"(np.int64(127), np.int64(109), np.int64(92))",148
"(np.int64(201), np.int64(192), np.int64(149))",98
"(np.int64(70), np.int64(52), np.int64(39))",96
"(np.int64(252), np.int64(251), np.int64(251))",75
"(np.int64(227), np.int64(227), np.int64(229))",52
"(np.int64(130), np.int64(140), np.int64(163))",44
"(np.int64(193), np.int64(167), np.int64(149))",42
"(np.int64(175), np.int64(157), np.int64(131))",21
"(np.int64(109), np.int64(101), np.int64(75))",18
