"Color (R, G, B)",Count
"(np.int64(186), np.int64(178), np.int64(170))",186
"(np.int64(94), np.int64(93), np.int64(88))",170
"(np.int64(19), np.int64(21), np.int64(19))",146
"(np.int64(246), np.int64(240), np.int64(230))",106
"(np.int64(152), np.int64(163), np.int64(149))",93
"(np.int64(74), np.int64(59), np.int64(64))",55
"(np.int64(101), np.int64(99), np.int64(110))",44
"(np.int64(108), np.int64(56), np.int64(45))",33
"(np.int64(171), np.int64(114), np.int64(132))",33
"(np.int64(205), np.int64(204), np.int64(200))",23
