"Color (R, G, B)",Count
"(np.int64(54), np.int64(40), np.int64(33))",62
"(np.int64(161), np.int64(155), np.int64(172))",55
"(np.int64(231), np.int64(212), np.int64(199))",50
"(np.int64(121), np.int64(140), np.int64(126))",39
"(np.int64(174), np.int64(187), np.int64(207))",27
"(np.int64(78), np.int64(73), np.int64(70))",26
"(np.int64(100), np.int64(89), np.int64(80))",9
"(np.int64(93), np.int64(160), np.int64(126))",8
"(np.int64(143), np.int64(87), np.int64(35))",8
"(np.int64(90), np.int64(108), np.int64(124))",8
