"Color (R, G, B)",Count
"(np.int64(30), np.int64(28), np.int64(34))",1295
"(np.int64(170), np.int64(140), np.int64(129))",986
"(np.int64(120), np.int64(88), np.int64(87))",940
"(np.int64(207), np.int64(195), np.int64(182))",931
"(np.int64(69), np.int64(53), np.int64(58))",848
"(np.int64(249), np.int64(249), np.int64(246))",607
"(np.int64(145), np.int64(145), np.int64(146))",140
"(np.int64(78), np.int64(107), np.int64(147))",127
"(np.int64(108), np.int64(169), np.int64(191))",124
"(np.int64(244), np.int64(224), np.int64(206))",115
