"Color (R, G, B)",Count
"(np.int64(115), np.int64(126), np.int64(111))",151
"(np.int64(26), np.int64(54), np.int64(56))",105
"(np.int64(196), np.int64(182), np.int64(146))",92
"(np.int64(56), np.int64(86), np.int64(88))",62
"(np.int64(210), np.int64(210), np.int64(183))",54
"(np.int64(201), np.int64(239), np.int64(236))",54
"(np.int64(155), np.int64(152), np.int64(120))",38
"(np.int64(248), np.int64(253), np.int64(254))",37
"(np.int64(8), np.int64(20), np.int64(23))",36
"(np.int64(42), np.int64(44), np.int64(43))",11
