"Color (R, G, B)",Count
"(np.int64(135), np.int64(137), np.int64(134))",64
"(np.int64(53), np.int64(56), np.int64(58))",62
"(np.int64(212), np.int64(211), np.int64(205))",46
"(np.int64(253), np.int64(253), np.int64(252))",25
"(np.int64(28), np.int64(28), np.int64(29))",14
"(np.int64(120), np.int64(116), np.int64(106))",13
"(np.int64(0), np.int64(0), np.int64(0))",12
"(np.int64(60), np.int64(60), np.int64(62))",11
"(np.int64(196), np.int64(209), np.int64(171))",10
"(np.int64(186), np.int64(205), np.int64(154))",9
