"Color (R, G, B)",Count
"(np.int64(203), np.int64(177), np.int64(160))",173
"(np.int64(138), np.int64(125), np.int64(120))",152
"(np.int64(47), np.int64(46), np.int64(49))",150
"(np.int64(94), np.int64(86), np.int64(81))",112
"(np.int64(243), np.int64(243), np.int64(238))",84
"(np.int64(31), np.int64(32), np.int64(37))",45
"(np.int64(227), np.int64(219), np.int64(209))",37
"(np.int64(153), np.int64(154), np.int64(153))",17
"(np.int64(166), np.int64(131), np.int64(110))",14
"(np.int64(118), np.int64(134), np.int64(147))",11
