"Color (R, G, B)",Count
"(np.int64(170), np.int64(172), np.int64(172))",102
"(np.int64(105), np.int64(68), np.int64(103))",85
"(np.int64(139), np.int64(138), np.int64(135))",75
"(np.int64(8), np.int64(6), np.int64(23))",50
"(np.int64(78), np.int64(72), np.int64(58))",50
"(np.int64(182), np.int64(202), np.int64(228))",48
"(np.int64(37), np.int64(32), np.int64(76))",43
"(np.int64(207), np.int64(210), np.int64(211))",32
"(np.int64(246), np.int64(247), np.int64(243))",29
"(np.int64(44), np.int64(44), np.int64(33))",12
