"Color (R, G, B)",Count
"(np.int64(156), np.int64(157), np.int64(170))",279
"(np.int64(94), np.int64(61), np.int64(70))",249
"(np.int64(236), np.int64(217), np.int64(212))",216
"(np.int64(25), np.int64(23), np.int64(53))",173
"(np.int64(1), np.int64(1), np.int64(1))",122
"(np.int64(127), np.int64(126), np.int64(128))",121
"(np.int64(108), np.int64(80), np.int64(118))",105
"(np.int64(247), np.int64(239), np.int64(237))",79
"(np.int64(188), np.int64(188), np.int64(183))",39
"(np.int64(230), np.int64(153), np.int64(147))",33
