"Color (R, G, B)",Count
"(np.int64(75), np.int64(80), np.int64(87))",361
"(np.int64(185), np.int64(196), np.int64(213))",343
"(np.int64(42), np.int64(50), np.int64(57))",330
"(np.int64(129), np.int64(139), np.int64(153))",275
"(np.int64(208), np.int64(219), np.int64(237))",164
"(np.int64(158), np.int64(169), np.int64(184))",131
"(np.int64(46), np.int64(36), np.int64(38))",125
"(np.int64(101), np.int64(109), np.int64(120))",124
"(np.int64(130), np.int64(94), np.int64(75))",101
"(np.int64(177), np.int64(147), np.int64(136))",81
