"Color (R, G, B)",Count
"(np.int64(250), np.int64(247), np.int64(227))",16
"(np.int64(111), np.int64(114), np.int64(104))",16
"(np.int64(215), np.int64(182), np.int64(147))",14
"(np.int64(174), np.int64(166), np.int64(156))",10
"(np.int64(142), np.int64(105), np.int64(68))",8
"(np.int64(93), np.int64(60), np.int64(30))",8
"(np.int64(74), np.int64(81), np.int64(71))",8
"(np.int64(193), np.int64(152), np.int64(109))",6
"(np.int64(54), np.int64(59), np.int64(52))",5
"(np.int64(140), np.int64(138), np.int64(130))",2
