"Color (R, G, B)",Count
"(np.int64(70), np.int64(73), np.int64(59))",111
"(np.int64(31), np.int64(41), np.int64(36))",91
"(np.int64(174), np.int64(188), np.int64(192))",90
"(np.int64(210), np.int64(221), np.int64(224))",85
"(np.int64(109), np.int64(124), np.int64(135))",80
"(np.int64(140), np.int64(156), np.int64(163))",38
"(np.int64(90), np.int64(97), np.int64(96))",33
"(np.int64(177), np.int64(104), np.int64(56))",29
"(np.int64(136), np.int64(73), np.int64(34))",14
"(np.int64(149), np.int64(145), np.int64(143))",8
