"Color (R, G, B)",Count
"(np.int64(161), np.int64(157), np.int64(130))",131
"(np.int64(62), np.int64(64), np.int64(61))",108
"(np.int64(125), np.int64(102), np.int64(72))",99
"(np.int64(220), np.int64(213), np.int64(197))",74
"(np.int64(6), np.int64(5), np.int64(5))",50
"(np.int64(241), np.int64(239), np.int64(229))",37
"(np.int64(165), np.int64(154), np.int64(164))",36
"(np.int64(44), np.int64(44), np.int64(44))",15
"(np.int64(134), np.int64(151), np.int64(141))",14
"(np.int64(77), np.int64(178), np.int64(114))",10
