"Color (R, G, B)",Count
"(np.int64(77), np.int64(66), np.int64(63))",21
"(np.int64(106), np.int64(96), np.int64(94))",19
"(np.int64(164), np.int64(142), np.int64(135))",17
"(np.int64(40), np.int64(36), np.int64(34))",10
"(np.int64(205), np.int64(202), np.int64(204))",8
"(np.int64(228), np.int64(236), np.int64(240))",5
"(np.int64(196), np.int64(198), np.int64(203))",1
"(np.int64(213), np.int64(194), np.int64(185))",1
"(np.int64(152), np.int64(131), np.int64(126))",1
"(np.int64(188), np.int64(162), np.int64(156))",1
