"Color (R, G, B)",Count
"(np.int64(185), np.int64(169), np.int64(157))",167
"(np.int64(92), np.int64(86), np.int64(87))",141
"(np.int64(147), np.int64(142), np.int64(152))",86
"(np.int64(243), np.int64(233), np.int64(213))",74
"(np.int64(68), np.int64(45), np.int64(71))",68
"(np.int64(185), np.int64(182), np.int64(186))",54
"(np.int64(39), np.int64(23), np.int64(41))",29
"(np.int64(66), np.int64(188), np.int64(134))",27
"(np.int64(1), np.int64(0), np.int64(0))",22
"(np.int64(134), np.int64(133), np.int64(123))",15
