"Color (R, G, B)",Count
"(np.int64(188), np.int64(193), np.int64(199))",234
"(np.int64(67), np.int64(64), np.int64(68))",233
"(np.int64(135), np.int64(139), np.int64(145))",207
"(np.int64(254), np.int64(254), np.int64(254))",109
"(np.int64(100), np.int64(100), np.int64(104))",107
"(np.int64(3), np.int64(3), np.int64(3))",86
"(np.int64(30), np.int64(15), np.int64(10))",52
"(np.int64(227), np.int64(228), np.int64(228))",38
"(np.int64(161), np.int64(166), np.int64(172))",37
"(np.int64(161), np.int64(90), np.int64(45))",22
