"Color (R, G, B)",Count
"(np.int64(43), np.int64(46), np.int64(48))",17
"(np.int64(138), np.int64(153), np.int64(106))",15
"(np.int64(222), np.int64(234), np.int64(214))",11
"(np.int64(92), np.int64(114), np.int64(66))",9
"(np.int64(60), np.int64(81), np.int64(35))",6
"(np.int64(181), np.int64(166), np.int64(167))",6
"(np.int64(229), np.int64(196), np.int64(33))",3
"(np.int64(145), np.int64(155), np.int64(124))",3
"(np.int64(254), np.int64(254), np.int64(254))",2
"(np.int64(212), np.int64(94), np.int64(76))",1
