"Color (R, G, B)",Count
"(np.int64(47), np.int64(46), np.int64(46))",95
"(np.int64(101), np.int64(99), np.int64(95))",84
"(np.int64(187), np.int64(188), np.int64(188))",79
"(np.int64(154), np.int64(152), np.int64(148))",70
"(np.int64(228), np.int64(222), np.int64(222))",45
"(np.int64(137), np.int64(137), np.int64(135))",13
"(np.int64(135), np.int64(171), np.int64(206))",7
"(np.int64(53), np.int64(70), np.int64(33))",6
"(np.int64(79), np.int64(116), np.int64(168))",3
"(np.int64(28), np.int64(40), np.int64(12))",3
