"Color (R, G, B)",Count
"(np.int64(161), np.int64(189), np.int64(141))",18
"(np.int64(40), np.int64(31), np.int64(46))",15
"(np.int64(214), np.int64(234), np.int64(183))",13
"(np.int64(60), np.int64(66), np.int64(55))",13
"(np.int64(136), np.int64(159), np.int64(143))",9
"(np.int64(126), np.int64(124), np.int64(117))",9
"(np.int64(93), np.int64(93), np.int64(85))",8
"(np.int64(151), np.int64(86), np.int64(85))",6
"(np.int64(242), np.int64(238), np.int64(235))",5
"(np.int64(4), np.int64(5), np.int64(9))",4
