"Color (R, G, B)",Count
"(np.int64(37), np.int64(43), np.int64(19))",381
"(np.int64(160), np.int64(156), np.int64(137))",381
"(np.int64(96), np.int64(97), np.int64(49))",271
"(np.int64(182), np.int64(199), np.int64(207))",269
"(np.int64(121), np.int64(120), np.int64(92))",224
"(np.int64(217), np.int64(212), np.int64(208))",127
"(np.int64(66), np.int64(70), np.int64(33))",65
"(np.int64(233), np.int64(234), np.int64(237))",59
"(np.int64(225), np.int64(224), np.int64(217))",53
"(np.int64(10), np.int64(13), np.int64(9))",47
