"Color (R, G, B)",Count
"(np.int64(182), np.int64(173), np.int64(173))",56
"(np.int64(80), np.int64(94), np.int64(80))",51
"(np.int64(31), np.int64(33), np.int64(29))",50
"(np.int64(127), np.int64(131), np.int64(127))",46
"(np.int64(224), np.int64(221), np.int64(225))",35
"(np.int64(236), np.int64(236), np.int64(241))",11
"(np.int64(148), np.int64(149), np.int64(145))",5
"(np.int64(73), np.int64(74), np.int64(67))",3
"(np.int64(200), np.int64(196), np.int64(199))",1
"(np.int64(106), np.int64(103), np.int64(103))",1
