"Color (R, G, B)",Count
"(np.int64(172), np.int64(143), np.int64(125))",221
"(np.int64(42), np.int64(41), np.int64(46))",213
"(np.int64(213), np.int64(190), np.int64(173))",191
"(np.int64(120), np.int64(104), np.int64(89))",128
"(np.int64(246), np.int64(248), np.int64(244))",98
"(np.int64(102), np.int64(114), np.int64(145))",85
"(np.int64(83), np.int64(77), np.int64(73))",79
"(np.int64(15), np.int64(18), np.int64(23))",47
"(np.int64(141), np.int64(41), np.int64(53))",27
"(np.int64(230), np.int64(223), np.int64(214))",25
