"Color (R, G, B)",Count
"(np.int64(179), np.int64(170), np.int64(155))",103
"(np.int64(96), np.int64(89), np.int64(82))",82
"(np.int64(62), np.int64(43), np.int64(28))",63
"(np.int64(134), np.int64(116), np.int64(93))",49
"(np.int64(15), np.int64(27), np.int64(64))",47
"(np.int64(241), np.int64(234), np.int64(219))",46
"(np.int64(30), np.int64(33), np.int64(19))",29
"(np.int64(132), np.int64(88), np.int64(40))",25
"(np.int64(81), np.int64(116), np.int64(173))",14
"(np.int64(131), np.int64(167), np.int64(222))",14
