"Color (R, G, B)",Count
"(np.int64(182), np.int64(179), np.int64(180))",21
"(np.int64(104), np.int64(90), np.int64(92))",19
"(np.int64(5), np.int64(5), np.int64(5))",18
"(np.int64(23), np.int64(25), np.int64(31))",15
"(np.int64(143), np.int64(132), np.int64(121))",14
"(np.int64(100), np.int64(83), np.int64(59))",14
"(np.int64(218), np.int64(211), np.int64(198))",7
"(np.int64(35), np.int64(95), np.int64(148))",7
"(np.int64(88), np.int64(81), np.int64(35))",5
"(np.int64(239), np.int64(239), np.int64(239))",4
