"Color (R, G, B)",Count
"(np.int64(54), np.int64(32), np.int64(22))",151
"(np.int64(171), np.int64(169), np.int64(166))",149
"(np.int64(108), np.int64(81), np.int64(68))",140
"(np.int64(162), np.int64(127), np.int64(111))",114
"(np.int64(228), np.int64(229), np.int64(228))",66
"(np.int64(205), np.int64(192), np.int64(180))",49
"(np.int64(18), np.int64(21), np.int64(26))",34
"(np.int64(120), np.int64(129), np.int64(134))",25
"(np.int64(39), np.int64(40), np.int64(47))",20
"(np.int64(188), np.int64(189), np.int64(191))",13
