"Color (R, G, B)",Count
"(np.int64(162), np.int64(160), np.int64(156))",29
"(np.int64(122), np.int64(111), np.int64(100))",27
"(np.int64(71), np.int64(58), np.int64(49))",24
"(np.int64(205), np.int64(204), np.int64(203))",17
"(np.int64(9), np.int64(5), np.int64(3))",10
"(np.int64(113), np.int64(78), np.int64(73))",4
"(np.int64(244), np.int64(244), np.int64(246))",2
"(np.int64(25), np.int64(63), np.int64(90))",1
"(np.int64(168), np.int64(54), np.int64(20))",1
"(np.int64(143), np.int64(137), np.int64(133))",1
