"Color (R, G, B)",Count
"(np.int64(82), np.int64(82), np.int64(82))",34
"(np.int64(166), np.int64(167), np.int64(167))",33
"(np.int64(135), np.int64(137), np.int64(136))",25
"(np.int64(80), np.int64(47), np.int64(43))",22
"(np.int64(188), np.int64(188), np.int64(188))",16
"(np.int64(250), np.int64(250), np.int64(250))",9
"(np.int64(7), np.int64(7), np.int64(7))",7
"(np.int64(116), np.int64(117), np.int64(117))",5
"(np.int64(209), np.int64(216), np.int64(214))",5
"(np.int64(190), np.int64(167), np.int64(121))",4
