"Color (R, G, B)",Count
"(np.int64(200), np.int64(174), np.int64(158))",67
"(np.int64(38), np.int64(28), np.int64(25))",56
"(np.int64(97), np.int64(75), np.int64(62))",51
"(np.int64(164), np.int64(137), np.int64(120))",43
"(np.int64(205), np.int64(216), np.int64(231))",34
"(np.int64(129), np.int64(120), np.int64(106))",20
"(np.int64(251), np.int64(251), np.int64(253))",9
"(np.int64(199), np.int64(195), np.int64(174))",3
"(np.int64(131), np.int64(203), np.int64(238))",2
"(np.int64(163), np.int64(161), np.int64(156))",2
