"Color (R, G, B)",Count
"(np.int64(118), np.int64(121), np.int64(119))",66
"(np.int64(161), np.int64(157), np.int64(159))",63
"(np.int64(77), np.int64(92), np.int64(77))",63
"(np.int64(235), np.int64(234), np.int64(238))",51
"(np.int64(61), np.int64(62), np.int64(56))",39
"(np.int64(207), np.int64(201), np.int64(202))",38
"(np.int64(26), np.int64(28), np.int64(25))",31
"(np.int64(184), np.int64(174), np.int64(173))",3
"(np.int64(236), np.int64(195), np.int64(93))",2
"(np.int64(139), np.int64(144), np.int64(138))",2
