"Color (R, G, B)",Count
"(np.int64(179), np.int64(152), np.int64(152))",38
"(np.int64(132), np.int64(94), np.int64(91))",29
"(np.int64(89), np.int64(63), np.int64(59))",22
"(np.int64(204), np.int64(206), np.int64(195))",19
"(np.int64(18), np.int64(21), np.int64(23))",18
"(np.int64(241), np.int64(240), np.int64(234))",6
"(np.int64(46), np.int64(42), np.int64(45))",4
"(np.int64(138), np.int64(169), np.int64(54))",4
"(np.int64(63), np.int64(188), np.int64(132))",3
"(np.int64(184), np.int64(199), np.int64(208))",2
