"Color (R, G, B)",Count
"(np.int64(41), np.int64(41), np.int64(37))",296
"(np.int64(149), np.int64(157), np.int64(165))",269
"(np.int64(104), np.int64(108), np.int64(110))",199
"(np.int64(73), np.int64(73), np.int64(72))",171
"(np.int64(170), np.int64(188), np.int64(211))",123
"(np.int64(21), np.int64(21), np.int64(19))",104
"(np.int64(214), np.int64(215), np.int64(215))",85
"(np.int64(131), np.int64(104), np.int64(61))",36
"(np.int64(181), np.int64(185), np.int64(193))",24
"(np.int64(157), np.int64(129), np.int64(91))",22
