"Color (R, G, B)",Count
"(np.int64(29), np.int64(39), np.int64(55))",201
"(np.int64(158), np.int64(168), np.int64(169))",149
"(np.int64(80), np.int64(75), np.int64(90))",144
"(np.int64(120), np.int64(118), np.int64(114))",140
"(np.int64(233), np.int64(197), np.int64(182))",100
"(np.int64(253), np.int64(253), np.int64(252))",81
"(np.int64(188), np.int64(131), np.int64(116))",74
"(np.int64(149), np.int64(89), np.int64(56))",41
"(np.int64(36), np.int64(28), np.int64(31))",35
"(np.int64(77), np.int64(77), np.int64(67))",29
