"Color (R, G, B)",Count
"(np.int64(120), np.int64(104), np.int64(94))",59
"(np.int64(196), np.int64(167), np.int64(143))",47
"(np.int64(75), np.int64(42), np.int64(27))",39
"(np.int64(226), np.int64(218), np.int64(208))",34
"(np.int64(153), np.int64(123), np.int64(108))",20
"(np.int64(20), np.int64(7), np.int64(6))",16
"(np.int64(182), np.int64(120), np.int64(76))",12
"(np.int64(130), np.int64(73), np.int64(39))",10
"(np.int64(186), np.int64(173), np.int64(161))",9
"(np.int64(64), np.int64(45), np.int64(46))",5
