"Color (R, G, B)",Count
"(np.int64(31), np.int64(21), np.int64(10))",143
"(np.int64(123), np.int64(94), np.int64(64))",117
"(np.int64(183), np.int64(153), np.int64(123))",89
"(np.int64(233), np.int64(225), np.int64(209))",76
"(np.int64(81), np.int64(44), np.int64(21))",57
"(np.int64(117), np.int64(120), np.int64(88))",43
"(np.int64(178), np.int64(206), np.int64(204))",41
"(np.int64(163), np.int64(166), np.int64(136))",30
"(np.int64(78), np.int64(79), np.int64(58))",24
"(np.int64(37), np.int64(98), np.int64(58))",22
