"Color (R, G, B)",Count
"(np.int64(99), np.int64(101), np.int64(93))",226
"(np.int64(42), np.int64(37), np.int64(34))",211
"(np.int64(202), np.int64(191), np.int64(173))",207
"(np.int64(157), np.int64(143), np.int64(122))",179
"(np.int64(77), np.int64(80), np.int64(70))",88
"(np.int64(213), np.int64(214), np.int64(215))",72
"(np.int64(11), np.int64(9), np.int64(12))",27
"(np.int64(100), np.int64(134), np.int64(164))",21
"(np.int64(213), np.int64(137), np.int64(84))",21
"(np.int64(188), np.int64(189), np.int64(191))",17
