"Color (R, G, B)",Count
"(np.int64(74), np.int64(72), np.int64(70))",66
"(np.int64(186), np.int64(186), np.int64(187))",60
"(np.int64(158), np.int64(156), np.int64(151))",44
"(np.int64(33), np.int64(46), np.int64(16))",33
"(np.int64(137), np.int64(137), np.int64(135))",23
"(np.int64(214), np.int64(198), np.int64(183))",17
"(np.int64(230), np.int64(226), np.int64(225))",15
"(np.int64(98), np.int64(119), np.int64(74))",14
"(np.int64(64), np.int64(84), np.int64(44))",10
"(np.int64(171), np.int64(171), np.int64(170))",4
