"Color (R, G, B)",Count
"(np.int64(76), np.int64(108), np.int64(73))",41
"(np.int64(197), np.int64(201), np.int64(166))",31
"(np.int64(120), np.int64(138), np.int64(106))",26
"(np.int64(27), np.int64(40), np.int64(24))",26
"(np.int64(160), np.int64(166), np.int64(128))",22
"(np.int64(56), np.int64(89), np.int64(54))",16
"(np.int64(245), np.int64(248), np.int64(193))",13
"(np.int64(179), np.int64(125), np.int64(80))",4
"(np.int64(253), np.int64(253), np.int64(254))",2
"(np.int64(209), np.int64(218), np.int64(226))",2
