"Color (R, G, B)",Count
"(np.int64(19), np.int64(48), np.int64(51))",130
"(np.int64(170), np.int64(167), np.int64(163))",122
"(np.int64(113), np.int64(112), np.int64(115))",118
"(np.int64(181), np.int64(205), np.int64(219))",84
"(np.int64(79), np.int64(80), np.int64(92))",57
"(np.int64(19), np.int64(20), np.int64(31))",54
"(np.int64(236), np.int64(240), np.int64(242))",49
"(np.int64(67), np.int64(57), np.int64(52))",28
"(np.int64(158), np.int64(118), np.int64(62))",27
"(np.int64(38), np.int64(87), np.int64(99))",24
