"Color (R, G, B)",Count
"(np.int64(103), np.int64(100), np.int64(105))",16
"(np.int64(141), np.int64(142), np.int64(146))",14
"(np.int64(53), np.int64(54), np.int64(56))",12
"(np.int64(24), np.int64(25), np.int64(42))",7
"(np.int64(222), np.int64(219), np.int64(209))",5
"(np.int64(160), np.int64(186), np.int64(216))",4
"(np.int64(231), np.int64(198), np.int64(168))",4
"(np.int64(248), np.int64(252), np.int64(253))",3
"(np.int64(148), np.int64(148), np.int64(147))",3
"(np.int64(173), np.int64(170), np.int64(179))",2
